NOME,DISTRITO
"Escola Básica de Angeja, Albergaria-a-Velha",Aveiro
"Escola Básica de Alquerubim, Albergaria-a-Velha",Aveiro
Escola Básica de Albergaria-a-Velha,Aveiro
"Escola Básica de Verdemilho, Aveiro",Aveiro
"Escola Básica de Quinta do Picado, Aveiro",Aveiro
"Escola Básica de Leirinhas de Aradas, Aveiro",Aveiro
"Escola Básica de Bonsucesso, Aveiro",Aveiro
"Escola Básica de Souto, Albergaria-a-Velha",Aveiro
"Escola Básica de Laginhas, Albergaria-a-Velha",Aveiro
"Escola Básica de Fradelos, Albergaria-a-Velha",Aveiro
"Escola Básica de Campo, Albergaria-a-Velha",Aveiro
"Escola Básica de Albergaria-a-Nova, Albergaria-a-Velha",Aveiro
"Escola Básica de Taboeira, Aveiro",Aveiro
